match_id,competition_id,season_id,competition_name,season_name,match_date,kick_off,home_team_id,home_team,away_team_id,away_team,home_score,away_score,stadium,referee,source
-194942454257787,,,Serie A,2015/2016,2015-08-30,,,Napoli,,Sampdoria,2,2,,,football-data
-190012972281026,,,Bundesliga,2015/2016,2015-08-30,,,Werder Bremen,,M'gladbach,2,1,,,football-data
-169968231734857,,,La Liga,2015/2016,2015-08-30,,,Valencia,,La Coruna,1,1,,,football-data
-144875050561548,,,Serie A,2015/2016,2015-08-30,,,Torino,,Fiorentina,3,1,,,football-data
-144526474164668,,,La Liga,2015/2016,2015-08-30,,,Getafe,,Granada,1,2,,,football-data
-70901794980201,,,Serie A,2015/2016,2015-08-30,,,Roma,,Juventus,2,1,,,football-data
-57960008377545,,,La Liga,2015/2016,2015-08-30,,,Eibar,,Ath Bilbao,2,0,,,football-data
-50456146925672,,,Serie A,2015/2016,2015-08-30,,,Chievo,,Lazio,4,0,,,football-data
-32044759900958,,,Serie A,2015/2016,2015-08-30,,,Carpi,,Inter,1,2,,,football-data
-16305744761330,,,La Liga,2015/2016,2015-08-30,,,Sevilla,,Ath Madrid,0,3,,,football-data
-10075830382419,,,Serie A,2015/2016,2015-08-30,,,Udinese,,Palermo,0,1,,,football-data
-6925519269067,,,Bundesliga,2015/2016,2015-08-30,,,Dortmund,,Hertha,3,1,,,football-data
-197823741527318,,,La Liga,2015/2016,2015-09-11,,,Levante,,Sevilla,1,1,,,football-data
-126708017054891,,,Bundesliga,2015/2016,2015-09-11,,,M'gladbach,,Hamburg,0,3,,,football-data
-19018697025521,,,Ligue 1,2015/2016,2015-09-11,,,Paris SG,,Bordeaux,2,2,,,football-data
-232089535334486,,,La Liga,2015/2016,2015-09-12,,,Betis,,Sociedad,1,0,,,football-data
-220408485184039,,,Serie A,2015/2016,2015-09-12,,,Frosinone,,Roma,0,2,,,football-data
-216536396386970,,,Premier League,2015/2016,2015-09-12,,,Crystal Palace,,Man City,0,1,,M Jones,football-data
-206369176601270,,,Bundesliga,2015/2016,2015-09-12,,,Leverkusen,,Darmstadt,0,1,,,football-data
-190254363306497,,,Bundesliga,2015/2016,2015-09-12,,,Ingolstadt,,Wolfsburg,0,0,,,football-data
-187729644813895,,,Ligue 1,2015/2016,2015-09-12,,,Troyes,,Caen,1,3,,,football-data
-173071009471392,,,Ligue 1,2015/2016,2015-09-12,,,Lorient,,Angers,3,1,,,football-data
-170810908466271,,,Premier League,2015/2016,2015-09-12,,,West Brom,,Southampton,0,0,,S Attwell,football-data
-169668627567895,,,Serie A,2015/2016,2015-09-12,,,Fiorentina,,Genoa,1,0,,,football-data
-161545166418888,,,Premier League,2015/2016,2015-09-12,,,Norwich,,Bournemouth,3,1,,M Atkinson,football-data
-161360904685352,,,Ligue 1,2015/2016,2015-09-12,,,Nice,,Guingamp,0,1,,,football-data
-142068236782546,,,La Liga,2015/2016,2015-09-12,,,Ath Madrid,,Barcelona,1,2,,,football-data
-134207554785059,,,Ligue 1,2015/2016,2015-09-12,,,Toulouse,,Reims,2,2,,,football-data
-125291878575865,,,Bundesliga,2015/2016,2015-09-12,,,Bayern Munich,,Augsburg,2,1,,,football-data
-124133690136469,,,La Liga,2015/2016,2015-09-12,,,Espanol,,Real Madrid,0,6,,,football-data
-122438914654814,,,Ligue 1,2015/2016,2015-09-12,,,Montpellier,,St Etienne,1,2,,,football-data
-104307038669187,,,Premier League,2015/2016,2015-09-12,,,Arsenal,,Stoke,2,0,,J Moss,football-data
-98491880299652,,,Ligue 1,2015/2016,2015-09-12,,,Lyon,,Lille,0,0,,,football-data
-97264865168793,,,Premier League,2015/2016,2015-09-12,,,Man United,,Liverpool,3,1,,M Oliver,football-data
-68040039902366,,,La Liga,2015/2016,2015-09-12,,,Sp Gijon,,Valencia,0,1,,,football-data
-58900704624465,,,Premier League,2015/2016,2015-09-12,,,Watford,,Swansea,1,0,,R Madley,football-data
-55018389761101,,,Bundesliga,2015/2016,2015-09-12,,,Hannover,,Dortmund,2,4,,,football-data
-54688125650246,,,Premier League,2015/2016,2015-09-12,,,Everton,,Chelsea,3,1,,A Marriner,football-data
-22013743011035,,,Bundesliga,2015/2016,2015-09-12,,,Ein Frankfurt,,FC Koln,6,2,,,football-data
-13046286536977,,,Serie A,2015/2016,2015-09-12,,,Juventus,,Chievo,1,1,,,football-data
-6650927024176,,,Bundesliga,2015/2016,2015-09-12,,,Hertha,,Stuttgart,2,1,,,football-data
-244641431827837,,,La Liga,2015/2016,2015-09-13,,,Celta,,Las Palmas,3,3,,,football-data
-223486221428068,,,Serie A,2015/2016,2015-09-13,,,Empoli,,Napoli,2,2,,,football-data
-219403404217508,,,Bundesliga,2015/2016,2015-09-13,,,Hoffenheim,,Werder Bremen,1,3,,,football-data
-205458192358199,,,Serie A,2015/2016,2015-09-13,,,Verona,,Torino,2,2,,,football-data
-190546868144687,,,Ligue 1,2015/2016,2015-09-13,,,Nantes,,Rennes,0,2,,,football-data
-189139832690677,,,Serie A,2015/2016,2015-09-13,,,Lazio,,Udinese,2,0,,,football-data
-184817445181654,,,Bundesliga,2015/2016,2015-09-13,,,Schalke 04,,Mainz,2,1,,,football-data
-169176525553103,,,La Liga,2015/2016,2015-09-13,,,Granada,,Villarreal,1,3,,,football-data
-162653755927019,,,La Liga,2015/2016,2015-09-13,,,Ath Bilbao,,Getafe,3,1,,,football-data
-161147659099926,,,Serie A,2015/2016,2015-09-13,,,Inter,,Milan,1,0,,,football-data
-154870555208941,,,La Liga,2015/2016,2015-09-13,,,Malaga,,Eibar,0,0,,,football-data
-147979616914203,,,Serie A,2015/2016,2015-09-13,,,Palermo,,Carpi,2,2,,,football-data
-97868648586521,,,Premier League,2015/2016,2015-09-13,,,Leicester,,Aston Villa,3,2,,M Dean,football-data
-95633050148817,,,Premier League,2015/2016,2015-09-13,,,Sunderland,,Tottenham,0,1,,C Pawson,football-data
-51965902293981,,,Ligue 1,2015/2016,2015-09-13,,,Ajaccio GFCO,,Monaco,0,1,,,football-data
-8750796302331,,,Ligue 1,2015/2016,2015-09-13,,,Marseille,,Bastia,4,1,,,football-data
-5343372767588,,,Serie A,2015/2016,2015-09-13,,,Sassuolo,,Atalanta,2,2,,,football-data
-245564534109768,,,Premier League,2015/2016,2015-09-14,,,West Ham,,Newcastle,2,0,,A Taylor,football-data
-166650174425135,,,La Liga,2015/2016,2015-09-14,,,Vallecano,,La Coruna,1,3,,,football-data
-18344601457754,,,Serie A,2015/2016,2015-09-14,,,Sampdoria,,Bologna,2,0,,,football-data
-198467130208076,,,La Liga,2015/2016,2015-09-18,,,Getafe,,Malaga,1,0,,,football-data
-172297410648258,,,Bundesliga,2015/2016,2015-09-18,,,Mainz,,Hoffenheim,3,1,,,football-data
-6636811964453,,,Ligue 1,2015/2016,2015-09-18,,,Rennes,,Lille,1,1,,,football-data
-265928971725084,,,Premier League,2015/2016,2015-09-19,,,Stoke,,Leicester,2,2,,A Marriner,football-data
-250545661330390,,,Ligue 1,2015/2016,2015-09-19,,,Bastia,,Nice,1,3,,,football-data
-218085449374189,,,Ligue 1,2015/2016,2015-09-19,,,Guingamp,,Ajaccio GFCO,2,1,,,football-data
-217990744464026,,,Bundesliga,2015/2016,2015-09-19,,,Werder Bremen,,Ingolstadt,0,1,,,football-data
-212759408758218,,,Bundesliga,2015/2016,2015-09-19,,,Hamburg,,Ein Frankfurt,0,0,,,football-data
-189728809510765,,,Bundesliga,2015/2016,2015-09-19,,,Darmstadt,,Bayern Munich,0,3,,,football-data
-189398854022497,,,Serie A,2015/2016,2015-09-19,,,Udinese,,Empoli,1,2,,,football-data
-182163972623644,,,Ligue 1,2015/2016,2015-09-19,,,Angers,,Troyes,1,0,,,football-data
-181317827782632,,,Premier League,2015/2016,2015-09-19,,,Man City,,West Ham,1,2,,R Madley,football-data
-179151130371632,,,Ligue 1,2015/2016,2015-09-19,,,Caen,,Montpellier,2,1,,,football-data
-167082301449690,,,Bundesliga,2015/2016,2015-09-19,,,FC Koln,,M'gladbach,1,0,,,football-data
-148432724734413,,,La Liga,2015/2016,2015-09-19,,,Eibar,,Ath Madrid,0,2,,,football-data
-111631731666864,,,Bundesliga,2015/2016,2015-09-19,,,Wolfsburg,,Hertha,2,0,,,football-data
-110283965490904,,,Premier League,2015/2016,2015-09-19,,,Swansea,,Everton,0,0,,S Attwell,football-data
-109542489731024,,,Ligue 1,2015/2016,2015-09-19,,,Reims,,Paris SG,1,1,,,football-data
-94603840748943,,,Premier League,2015/2016,2015-09-19,,,Newcastle,,Watford,1,2,,R East,football-data
-75536797311254,,,La Liga,2015/2016,2015-09-19,,,Sociedad,,Espanol,2,3,,,football-data
-41106796249007,,,Premier League,2015/2016,2015-09-19,,,Bournemouth,,Sunderland,2,0,,K Friend,football-data
-39703888443746,,,La Liga,2015/2016,2015-09-19,,,Valencia,,Betis,0,0,,,football-data
-26306871457462,,,La Liga,2015/2016,2015-09-19,,,Real Madrid,,Granada,1,0,,,football-data
-22581003887553,,,Premier League,2015/2016,2015-09-19,,,Aston Villa,,West Brom,0,1,,M Atkinson,football-data
-12690674054816,,,Premier League,2015/2016,2015-09-19,,,Chelsea,,Arsenal,2,0,,M Dean,football-data
-11721091317745,,,Serie A,2015/2016,2015-09-19,,,Milan,,Palermo,3,2,,,football-data
-276330131333509,,,Bundesliga,2015/2016,2015-09-20,,,Augsburg,,Hannover,2,0,,,football-data
-266674638696572,,,Bundesliga,2015/2016,2015-09-20,,,Dortmund,,Leverkusen,3,0,,,football-data
-228374348424197,,,Bundesliga,2015/2016,2015-09-20,,,Stuttgart,,Schalke 04,0,1,,,football-data
-220025852285945,,,Ligue 1,2015/2016,2015-09-20,,,St Etienne,,Nantes,2,0,,,football-data
-197231898948131,,,Serie A,2015/2016,2015-09-20,,,Torino,,Sampdoria,2,0,,,football-data
-196699832900594,,,La Liga,2015/2016,2015-09-20,,,Barcelona,,Levante,4,1,,,football-data
-179206285603030,,,Serie A,2015/2016,2015-09-20,,,Bologna,,Frosinone,1,0,,,football-data
